,Расстояние
0,2356
1,2356
2,1877
3,1877
4,1877
5,2356
6,2356
7,1877
8,1877
9,1877
10,1877
11,2782
12,1877
13,1877
14,1877
15,1877
16,1877
17,1877
18,1877
19,2732
20,2732
21,2732
22,1877
23,1877
24,1877
25,2356
26,2356
27,4202
28,1877
29,1877
30,1425
31,1877
32,1877
33,1877
34,1877
35,1877
36,1877
37,1877
38,1877
39,1877
40,1877
41,1877
42,1361
43,1877
44,1877
45,1877
46,2146
47,1877
48,1877
49,1877
50,1361
51,1361
52,4202
53,2356
54,2356
55,1877
56,1877
57,1877
58,3772
59,3772
60,1877
61,1962
62,2146
63,2146
64,1877
65,436
66,436
67,1877
68,1877
69,2356
70,2356
71,2356
72,2356
73,2356
74,2356
75,1877
76,436
77,436
78,2356
79,2356
80,2356
81,1877
82,3772
83,1877
84,1877
85,1877
86,1877
87,2356
88,2356
89,1877
90,1877
91,3772
92,3772
93,4202
94,1877
95,1877
96,1877
97,1877
98,1877
99,1877
100,1877
101,1361
102,1361
103,1361
104,1877
105,1877
106,1877
107,1877
108,1877
109,1877
110,2356
111,1877
112,1877
113,1877
114,1877
115,1877
116,1877
117,1877
118,1877
119,1877
120,4244
121,0
122,1877
123,1877
124,2356
125,2356
126,1877
127,3964
128,3964
129,1877
130,1877
131,1877
132,1207
133,1207
134,1877
135,1877
136,3772
137,3772
138,436
139,436
140,436
141,6489
142,1877
143,1877
144,1877
145,1877
146,1877
147,1877
148,2356
149,1877
150,1877
151,1877
152,1877
153,1877
154,1923
155,1877
156,1877
157,1877
158,1877
159,3772
160,1877
161,2356
162,2356
163,1425
164,1877
165,3334
166,3334
167,3334
168,1877
169,1877
170,1877
171,1877
172,1877
173,1877
174,1877
175,1877
176,1877
177,2356
178,1877
179,1877
180,1877
181,1877
182,1877
183,1877
184,1877
185,1877
186,1877
187,1877
188,1877
189,1877
190,2356
191,2146
192,2146
193,1877
194,1877
195,1877
196,1877
197,1877
198,2356
199,4244
200,2476
201,3772
202,3772
203,1361
204,1361
205,1361
206,1877
207,1877
208,2356
209,2356
210,1877
211,1877
212,2356
213,1877
214,1877
215,1877
216,1877
217,1877
218,2782
219,1361
220,1361
221,1877
222,1877
223,1877
224,1361
225,2356
226,2356
227,1877
228,1877
229,1877
230,1877
231,1877
232,1877
233,1877
234,436
235,3772
236,1877
237,1877
238,1962
239,1962
240,3772
241,3772
242,1877
243,1877
244,2194
245,2194
246,4244
247,4244
248,753
249,753
250,1962
251,1877
252,1877
253,1877
254,1877
255,2356
256,2356
257,3772
258,1877
259,1877
260,1877
261,1877
262,1877
263,1877
264,1877
265,1877
266,1877
267,1877
268,1877
269,1877
270,1877
271,899
272,1877
273,1877
274,3334
275,3334
276,3334
